Obscure_encounters,Wilderness_hooks,General Story Hooks,City_plots,Npc_Traits,Encounters_b,Dungeon_dangers,Overhead_phrases,inn_encounters
The daughter of a local politician/Noble person keeps getting kidnapped by local goblins. The party is hired to solve it once and for all.,"A local dwarven mine owner asks the party to investigate the spread of a dangerous drug amongst the workers. The mine has great strategic importance because it is a rich source of magic crystals vital for the kingdom's protection. During the investigation, the adventurers learn that mine workers only use the drug to dull their physical and emotional pain because the working conditions are unbearable. The drug is provided by kobolds living in the deeper parts of the mine who brew it themselves. In exchange for the drug, the kobolds want to stay there and mine crystals themselves, as they did before there was a dwarven-owned mine.",Win a poker/card/dice tournament.,People are going missing in the poorer districts of the city. Whispers abound of a man-sized beast that drags people off in the night...,"They have extremely colored clothing that stand out in the crowd. Bright colors or flashy patterns, it's impossible to not notice them.",A group of heavily armed goblins marching with purpose. It turns out they're part of a tribe of converted monsters being run in by high level druids/clerics/rangers in the mountains. Killing them means you become an enemy of the rapidly expanding tribe. Befriending them gets you directions to an outpost where you can get quests from the tribe. u/Radan155,"A door on an opposite wall bursts from it's hinges, hitting the wall opposite, and shattering into pieces","""...and that's how I got trampled over by a herd of owlbears""",You hear a serenade outside. It's up to the DM if it's intended for you or not.
"A horse with no rider, but fully equipped is walking in the opposite direction of the party. There is a note pinned to it’s saddlebags, “send help!”","A wealthy merchant hires the party to retrieve a valuable and rare magical artifact from a group of bandits who stole it from them. The bandits claim that the merchant is not actually the rightful owner of the artifact and he stole it from them first, and that they are simply trying to reclaim what is rightfully theirs. The party must decide who to believe and whether to return the artifact to the merchant or to the bandits.",Deliver a love letter.,"The mayor has fallen quite ill. Crowds are leaving flowers at his home hoping for a healthy recovery, but the outlook is not great...","They have drab-colored clothing, very sad looking clothing bland even in their design.",A troll rises from underneath the decrepit bridge demanding a toll. Anyone who attempts the pass over the bridge without paying gets attacked. The troll is actually attempting to raise enough funds to fix/rebuilt the bridge. u/supersnes1,"A set of armour lays on the ground, ground up with teeth marks","""THAT'S the reason you keep honey on you?! For that!?""",Rats eat half your food overnight.
"The party takes a shortcut through a friendly looking forest not shown on their map. It seems oddly silent, and soon notice all the wildlife is deep asleep – including insects and even flowers. As their eyes get heavier and heavier a wild man bursts out of the bushes, eyes propped open.","Goblins have been attacking a newly constructed dam above the village, the party is hired to stop them. The goblins claim that the dam has caused their underground homes to flood. If the dam is broken the town will be hit by a tidal wave.",Take a group to the school prom.,"A priest is trying to get a mob going by preaching loudly in the streets, but he keeps getting chased from one gathering to the next by the city guard. He preaches the power of the people and is aiming to cause a city wide riot. This will take [2d10] days to get going and the players will find his sermons a couple times as the crowds gradually grow in size and malcontent.","They are stuck in the past, or what they call the good old days. They dress and act like they were at this time, and constantly complain about now.","The party comes upon a small but lively inn. The host welcomes you to sit by the fire with the other patrons while the musician plays a haunting melody. Close inspection shows that things are off: the smell of charred flesh, burning wood, faint sounds of roaring flame, ect. The inn is an illusion of the past with the other people present being ghosts of those killed in a terrible fire decades back. A","A wounded warrior tries to give advice, before choking on their own blood and dying","""...that's how they convinced me that I needed a pet crow.""","There is a small shelf in your room stocked with fine wine, aged cheese and dried fruit. Taking/eating anything from it cost extra 20 gold pieces, but it grants you 10 temporary hit points."
Traveling through the forest the party is stopped by the sound of a booming voice nearby “Your Wish has been granted!”. Shortly after they come apon a clearing filled red mist and a goblin holding a brass lamp laughing maniacally. The party now has to deal with what stuipd thing he has wished for.,"The party must bring a famed healer from her remote mountain village to the capitol so that she can heal the ailing prince. But she is busy fighting an outbreak of disease at home, and patients will likely die if she leaves. Then again, the death of the prince would throw the succession into chaos and possibly bring a civil war.",Fix up a bunch of broken items in the shopkeeper’s place.,"The thieves guild is stealing from estate sales. They find rich, recently dead posh folks and drop by at auctions and property sales. They seem to be nabbing a lot of nick-knacks and low value magic items, but nobody can figure out why. In reality, they are searching for a puzzle cube that had been divided up long ago by a bunch of old society adventurers. When put together, it reveals a dungeon rumored to be rife with riches.","They wear clothing that no-one is wearing, yet. Their design is avant-garde, strikingly different and looks certainly weird.",You stumble across a battle between two other evenly matched factions. Its your choice to intervene to help one side or wipe both out.,"An incomplete circle of dead bodies, touching head-to-toe, is in the centre of the floor. The circle needs only two more to be completed","""So I was on my third pint at that point...""",Your room's furniture and architecture doesn't match at all with the rest of the inn design.
"You are confronted by a party of identical adventurers, who seem more surprised than you. They have been tracking you down for a long time, following rumours of a party of adventurers giving them a bad name. Worst of all they seem to have been adventuring longer than you…","Villagers are complaining about a feud between two mad scientists. One is a necromancer who was surrounded himself with the ghosts and zombies of his dead family and the other is ""Frankenstein"" type that is trying to steal those family members to use as spare parts. The law of the land offers no protection to the undead and the scientist offers the party a discount on grafts or modifications should they assist with the capture of said undead.",Be a member of the jury for a very grey case,An orb at the top of the mage's tower has begun to glow brightly. It seems harmless for now but people are beginning to get spooked. A mob will form and attack the tower in [x] days.,They wear immaculate and distinguished clothing. They are so elegant that they could enter any high places at any time.,Elven ecoterrorists ambush you in an effort to destroy your wagon(s) and supplies. Attempts to disrupt or destroy local wildlife will make you direct targets.,The floor begins to cave away under the feet of the most heavily-armoured player,"""I don't know Marv, I work my ass off to provide for her and what do I get? My own boot leather fried in a skillet and served with a side of spit.""","There is a sign near the window that reads: ""Jumping from the window is forbidden."""
"Construction of a new museum has been halted when its found that all the workers continue to forget what they’re building, could the new exhibit be to blame?","The party comes across an armed caravan being attacked by paladins and knights. They are in the process of being defeated, and the last few defenders are guarding a young child. The party intervenes and saves the child, and on the deathbed of the last defender, are asked to bring them to the Temple of Happy Times. The party may face more resistance along the way, with more paladins and champions claiming that the child is evil and will destroy us all. They get the child to the temple, are rewarded, and all seems well. Until hell breaks loose because they were the last piece of some doomsday puzzle the Temple was trying to release.",Set up trade agreements between competing guilds to help alleviate the amount of sabotage in the business.,The heir to the crown has been injured in a hunting accident and it is said that he may be near death.,"They are wearing protective clothing on top of their clothing, regardless of the situation.","Goblins have created a ""fortress"" along the side of the road. They demand fealty and tribute for their leader. The ""fortress"" is an abandoned and overturned cart that they dug some tunnels under and added a new door.","A rope is tied to the doorknob of the door they just passed through. The rope is cut and lays loose on the floor, and there are burn marks all over the rope","""Now why the hell wouldja do that?!""","A guest in the other room is snoring loudly. Roll a DC 13 perception check, and on a success you sleep poorly. [/u/_solounwnmas]"
"You’ve gotten word about a logging village up north that has put up a massive reward for any adventurers willing to travel to the village, investigate the rash of disappearances and locate any of the missing persons: dead or alive.","The party is hired to protect a caravan that contains medicine for a far away castle filled with plague infected commoners. A different town which is also far off hears of this, and attempts to raid the caravan to acquire the medicine for their own people who are also infected. There is not enough medicine nor time to get to both places.",Train a group of guards in how to anticipate the often unpredictable actions of adventurers.,A local healer is suspected of consorting with demons. She is due to be burned at the stake in [x] days.,"They wear pretentious clothing, full of unnecessary and not well coordinated accessories, they are trying too much.",Awakened crops and other plants from a nearby farm have gone berserk. They have ransacked the farm and now capture travellers in order to deliver them to a house sized pumpkin in the garden.,Kevin McAllister taunts the party from the far end of the room and disappears down the hall,"""...thinks 4 swords are too many? That's ridiculous...""","There is a sign on your bed table that reads: ""do not leave the candle unattended."""
"A cranky old man in town complains that his pocket watchers stolen, and he has his suspicions on who the thief is. The townsfolk say that he’s a senile old man who probably lost it.","The local lord would like the party's help defeating a band of villains that are gathering just outside his territory. There is strong evidence that the band will attempt to annex part of the Lord's land in the coming weeks. When the party investigates, they find that the villains are in fact exiles of that area who are attempting to retake their homes. The exiles were harsh rulers, and the current lord is not much better.","Host a support group for ""I think my child might be turning evil""",A local priest has miraculously saved the life of a child. A feast is being held in his honor tomorrow night.,"They wear way too much makeup, so much that their face is barely visible underneath.","The winds of magics whip into a frenzy. A front of wild magic permeates the area forcing all casters to fight to control their spells. Spell that get ""free"" become semi-sentient (with their demeanor depending on the spell) and may attack the party.","Two or three giant crossbows are pointed at the door the party walks through. Another two or three are pointed at the door on the far end. They are all loaded, but nobody is there to fire them","""I'd ask for medium-rare but everyone knows what they make this steak out of is better burnt.""",You find out that you are allergic to whatever fabric the bed sheets are made of.
"As your party steps through town, you suddenly start to feel the ground shake as a group of Monsterous Centipede’s erupt from the dirt, attacking the party. As they are defeated, it becomes apparent that they were summoned creatures.","A farmer needs help dealing with a undead scourge. The undead is the original owner of the farm, having come back for vengeance as a revenant after a bandit murdered him and his family so he could steal the land.",Resolve a miner’s strike for the local magistrate.,Two rival thieves guilds are ramping up a dispute over territory and innocent shop owners are being squeezed by both sides.,"They look horribly sick, pale complexion, huge bags under the eye, and ready to drop at any time.","Two very large ogres lie face to face blocking the path, locked in an intense arm wrestle, oblivious to all else going on around them. u/idek_mannnn","The light from a window/light source is firing a beam, inches away from a crystal in the centre of the room. Moving the crystal to the beam of light causes it to mechanically move down under the floor, and close behind it.",“But I DID see it! He ate the whole bag of nails!”,You discover an improvised rope hanging from an upper floor. It wasn't there a minute ago. [/u/FunkyGeneFlow]
One of the party’s magical or valued items has been stolen and is now held in a high security bank in a bustling city. The party must now break into the bank to retrieve their items.,The only magical user and healer of a newly colonized island port is known to be a friend to both natives and newcomers and has been staying neutral in the conflict for the sake of both people. You have been tasked to either convince her to divulge the location of the leader of the natives or stalk her when she travels out of town as rumors grow of an imminent rebellion by said leader after random buildings and ships have been set on fire in recent weeks.,Save a servant’s job by finding the missing silver and prove she didn’t pilfer it.,The Field-Marshall Captain of the Guard has just died. The position of the successor is unclear. Crime and Military Threats to the Peace are increasing in frequency by the day.,"They have a strange speech pattern, stopping at the wrong place and putting the accent on the wrong syllable.","A lone knight sits leaning on the trunk of a heavy tree, nursing a severe wound in their side. They desperately need medical attention or they will soon perish. Should they be saved, they will owe a debt to their saviour.",The decoration on the far end of the room is completely different to the near side - almost looking like two rooms were forcibly collided together,"“The cleric said it should clear up if I keep putting the poultice on it. Smells like piss, it does”",The innkeeper knocks on your door and asks if you or another party member knows an exorcist.
A farmer asks for help. His crops are constantly getting trashed. He wants the group/player to keep watch over the night. It ends up being that the poor farmers’ trusty scarecrow has been brought to life by dark magic. It is optional to buy or make a new scarecrow.,A famine has plagued the nearby countryside. A caravan of merchants carry food to sell to the stricken region. An accident occurs and the caravan wrecks as the party passes by. Starving villagers descend on the food and begin stealing it. Do they party turn a blind eye but potentially bankrupt the merchants or can they stomach beating back the poor starving villagers who may get the food anyway?,"Raise funds from the tight-fisted local aristocracy to build an orphanage for the children orphaned by the recent war, to which the local aristocracy was heavily called upon to financially support by the Baron/Duchess/Queen, etc.","The ruler has or will soon have an arranged marriage, the new spouse arrives in 1d4 days under a cloud of some controversy, but with much pomp and ceremony.","They have a coarse and broken voice, like they were never used to using it.","Two identical men are fighting over a backpack. Each claims the other is a doppleganger trying to steal their identity. (Plot twist, both are dopplegangers and the man they depict is long dead)",A puddle or water bath in the room begins trembling slightly,"""I know they say beauty's in the eye of the beholder but I don't know if I can stay with a woman with that many eyestalks""","There's a doll on the bed. If you try to get rid of it, it reappears after an hour when you are not looking."
"A PC gets bit by a werewolf. There is a cure for it, however they must convince the mad wizard to give it to you.","A group of dwarves hires the party to retrieve a valuable gemstone that has been taken by a group of trolls. The trolls are using the gemstone to power a magical artifact that holds great religious significance to them. The trolls claim that the gemstone is an ancient artifact that rightfully belongs to them, and that the dwarves have no right to it.",Perform a puppet show for the children of a fey court to keep them entertained and out of mischief while their parents/guardians attend court.,"A tax collector went rogue, and abused their power in a public fashion by killing a shop owner that failed to pay. The public is out looking for him seeking fevered vigilante justice.","They have an enchanting voice, so much that it seems out of this world, every word is beautifully said and the sentence seems to sing as they speak.","Royal guards on horseback request that everyone temporarily steps off the road while a noble entourage passes by. What follows (after some short time) is an incredibly fat goblin riding an incredibly fat pony, accompanied by more guards and a trumpeter playing fanfares.","A parrot squarks ""Marines, we are leaving! Everyone, retreat!""","""...and by this point, I still hadn't found my pants!""",A rookie bard is practicing playing the bagpipes in the next room.
A passing man swears to you that he is a genie who will most definitely grant you three wishes if you return his stolen lamp to him.,The party is approached by a group of influential and powerful smugglers who ask for their help in transporting a shipment of illegal and exotic animals across the border. Many of the animals are near extinction. They claim that the animals are going to a prominent zoo where they will be well tended and encouraged to breed. But a local Druid circle wants them all freed to their natural habitats.,Collect living magical beasts for the local Countess’s Mystical Menagerie.,"The price of grain is being manipulated by a consortium of importers. The poor suffer, and the hungry are swelling in the streets.","They have a manner of speech which would be more at its place in a high-society, the elocution is perfect, only years of training could have led to this expertise.",What is obviously three kobolds atop each other’s shoulders disguised by a large coat and hooded cloak. The top ones asks (in very broken common) where the “human city” is.,"A table full of laughing adventurers or guards goes silent as they see the party. They all hunch over their drinks and glare at the party with a side-eye. They won't talk, except to spit at the parties' shoes.","""Dude, I don't care if she's an elf. She's still way too young for you.""","Some odd mushrooms are growing in the corner of your room. They may be poisonous, hallucinogenic or Campestris."
Every town or settlement the party goes to has an outline of a fish stenciled on a main building. The first one is really big and noticeable; the rest are subtle enough that the party won’t see them unless they announce that they’re examining the place. The town where the quest will happen has the WORD “fish” stenciled on a building.,"The party is hired by a group of rebels to sabotage a military research facility that is developing new and advanced weapons. The rebels claim that the facility is dangerous and unethical, but the facility owner insists that their research is necessary for the defense and security of the kingdom.","Take the Baroness’s teenage son on a “heroic adventure” as he is enamored with adventurers and longs for an epic quest, but is socially awkward, bad with weapons, clumsy, and so far unable to learn even cantrips. They are forbidden from placing him in front of any real threat. Do they put on a completely faux adventure or attempt to build his confidence and teach him skills?","A gate in the city wall has been poorly maintained for years. This failure in the kingdom's defenses has not gone un-noticed, and in 1d6+2 days raiders will arrive to take anything they can get their hands on. It will be bloody.","They talk very rudely, using a lot of curse words and their speech is littered with local dialect words that make it hard to understand.","A very large tree has fallen across the road. A wagon is on the other side, and the helpless traveling merchant asks you to clear the way in exchange for some goodies. Turns out the tree is a very drunk (and very annoyed) treant. u/Galdrian","A pair of smoking boots sits in the centre of the room. If the party investigates the boots, a pair of feet will fall out","""…Dropped that ax on his foot. Took off three toes but he stood there screeching about his new boot…""",There is a potted plant left by a former guest. Further inspection reveals it's a mantrap sapling.
You come across a trail of blood (unicorn) leading to a spooky forest.,Some strange fungus has been discovered growing in the woods. A tabaxi alchemist will pay handsomely for samples but it is implied that he will use it to make strong poisons.,Prove the innocence of a man accused of theft of a noble's jewels,A madman just claimed to have poisoned one or more of the wells in the city; Panic is beginning to grip the populace.,"They are dressed and act in a military fashion. Standard haircut, clothing identical to the standard issue uniform of the military of the area, they stand at attention without realizing it, and they have a military strictness about them.",A voice echoes out from a under a bridge (in rhyme!) claiming to be the Triple Troll of the Gruff Pass. It's oddly high pitched and turns out to be a single scrawny goblin with a formerly high quality cloak made for someone three times his height. u/hickorysbane,"The party hears a yelling from another door: ""Mimi! Spit her out! No! Down! Mimi! Drop her! No! Mimi! No! NOOOO!""","""...so I push this oddly thin orc and... I shit you not... he fell apart into three goblins and ran in different directions..""",There is a lump inside your pillow. You find a small box with a trinket and a note.
"The party is followed by an owl, hooting softly, eyes glowing the gentle yellow that might be magic or might be simple reflection. Over the next several days more owls join, until when the group sets down to sleep at night all they can see are hundreds of owl eyes staring down at them. Then, one of the owls scratches a message into the dirt, before flying off into the night- FOLLOW.","Reports have indicates restless dead at the settlement's cemetery. Investigation reveals a group of necromancers are attempting to raise their own loved ones, but their magics are also raising other dead. Do the players stop the necromancers and deny them their wish of seeing their loved ones again, or do they allow them to continue and risk an undead infestation stopping the settlement's people from visiting their dead?",Find a way to repair a large windmill that helps drive the town,A young ward of the [prominent noble] has developed an extreme interest in a fad that is gripping the youth recently. This public embarrassment has gone on long enough now that it has been decided: actions must be taken.,"They are overly clean, not a speck of dust on their clothing, not a stain. It seems like their clothing is brand new.",Rambuncious youth from a nearby vilage are pushing over an outhouse. The indignant cries of the local mage can be heard from inside.,"A tough-looking barbarian stumbles through the door on the far side, clutching their side to keep their intestines from falling out. They collapse as a much smaller maid steps behind, with a smear of blood on their apron. The maid will step on the barbarian's corpse, tell the party ""They all overstepped their boundaries. But it's fine now,"" before walking off.",“What do you mean I remind you of MY mother!?!?”,"You hear plenty of footsteps coming from the upper floor, then you remember there are no other floors upstairs. [/u/FunkyGeneFlow]"
"An unknown NPC mage has dimension doored into the middle of a fight, after all healing spells have been used by the team. He/She is on death’s door and carrying a note with his/hers killers name. He says a few words before dying.","A gnome society is attempting to dam up a water fall and river to generate power for their village, however a pesky Hobgoblin Druid keeps destroying their progress or attacking their work site at night. They want the monster removed so they can finish the damn. Upon investigation, the Druid will warn the party that backing up the river will cause flooding of the nearby cave network. Although the animals this will displace could be harmful, he is more concerned with the enchanted sleeping green dragon he has enchanted deep within the cave network. Should the caves flood, he will be awakened, and will bring destruction upon the region in a way the Gnomes have forgotten.",Put on a play for a group of orphans after the local actor troupe quit,"A love triangle has gone awry amongst two members of the royal court. One of the lovers has secrets that could embarrass the monarchy at best, or be used for purposes of blackmail at worst. Some of those secrets have already been whispered in the streets, and its only a short time before bigger ones leak out too. Dangerous ones.","They are followed by a very strong smell they can never get rid of. Be it from their work, or their environment, whatever it is, it is bad.","Picked mushrooms lay on a stump out under the moonlight (or drying in the sun). They've been collected by a group of pixies who are willing to trade them for the right price before returning to the feywild with the rest. Myself and another DM have each ran this once, and we both convinced a player to trade their name setting up a whole fae based adventure","The floor in the centre of the room collapses. The stone-to-flesh orc that was stood on it falls through, and before the floor rejoins, there is a large shattering sound heard.",“I’m told it’s the latest fashion but honestly does that make them worth the stench?”,"There are tally marks on a wall. Next morning, you find that another tally was added."
Graffiti is scrawled on the walls of two buildings in town. It appears to be some sort of code. The messages are marked “1” and “3”. Message “2” is nowhere to be found.,"A local gang has been selling illicit alcohol that has not been authorized and properly taxed by the governing authorities. The party is hired by a government official off-books, to sneak into and poison the product, thereby eliminating the buyers and the illicit business.",Interview witnesses of a possible murder,"The King flagrantly wastes taxes in a visibly corrupt scheme to make the royal quarters even more lavish. The populace decides to do something about it over the coming week, and tensions are already starting to simmer in the streets.","They are followed by a sweet aroma of some sort, whatever the source, it soothes the spirit and smells delicious.","A ranger helps guide the party through the forest, and reccomends a place for them to stay. Upon reaching there and name-dropping him they learn he's been dead for 3 years.",All of the parties' light sources are extinguished. They have a 50/50 chance to relight themselves after a few seconds.,“Three steak and kidney pies was not a good idea...”,You are pretty sure the furniture was facing the other way last night.
"A scrap of paper floats on the wind. It glides on the breeze. Eventually in a gust the paper catches on one of the adventures faces. Tearing it off their face, and looking at the parchment they see it is…","A mage is infecting a village’s water supply with a magic potion that charms everyone that drinks it. The main effect is that it forces all that drink it to obey the mage’s instructions. The mage is actually benevolent, and acts as the village's prefect, resolving disputes, giving advice and orders. The village runs smoothly, but no one has any free will. The son of the butcher in the village had stopped drinking the water as he got lost in the woods for a few days and now knows what's going on. He hires the party to kill the mage. The party also finds out the sordid history of the village and its many years of warring, violence, and blood games that are now a thing of the past since the mage arrived.",Interview applicants for the job of henchman,"The Guards have been stopping and inspecting all outbound cargo, for some reason. It is putting a real strain on shipments and clogging up the traffic. In reality, the thieves guild managed to steal a precious magical artifact from the Supreme Wizard during an epic heist. Trouble is, they can't get it out of the city now with all the heat.","They are on a mobile life support or any kind of apparatus that keeps them alive. It can be a whole servitor following them closely, or a breathing machine on their back. In any case, it is visible.",A nearly naked man lines beaten and bruised in the ditch on the side of the rode. If they assist him he offers his services that turn out to be particularly valuable. I just love the scene from A Knight's Tale when Chaucer is introduced,"The party sees themselves on the far side of the room, all looking wounded and beaten up, passing through a door on the far side. One of them looks back, seems to yell something incomprehensible at the party, then continues down the doorway.","""...so two casks of ale, a buttered piece of bread, and a wet sock are all you need.""",Someone did a short sheet prank in your bed.
"Gold! Adventure! Fame! Cries an elf on a soap box, “the faint of heart need not apply!” (For adventures who need more than obvious plot hooks.)","An incredibly old Dragonborn wants the party to reclaim his families Silver Mine from bandits. These bandits haven’t stolen anything, but are rumoured to have captured prisoners. The whole town is nervous and is on the brink of sending in an angry mob! Turns out the rumours are somewhat true, but the bandits see themselves as bounty hunters and recently caught a group of cultists.",Get alchemical supplies for healing potions to a remote town dealing with a disease outbreak,"A terrorist has unleashed a Discord Bottle in the middle of a local wedding. There were many casualties, and even the bride and groom both attempted to kill each other. This has happened at least once before, recently, and it has people on edge- leery of outsiders.","They wear clothing that covers their whole body, completely masking their identities.","A group of no-gooders are out looking for (a certain race or creature) to capture for (whatever purpose). Say there is a Tiefling/Elf/Gnome in your group. The no-gooders round a bend in the road and excitedly shout ""There's one! Let's get it!"" u/Arcane-Aaron","A skeleton on a mechanism is pushed forward, and yells ""Greetings, and welcome to the room of certain demise! Greetings, and welcome to the room of certain demise! Greetings, and welcome to the room of certain demise!"" on loop. Each time, their voice seems to get louder and more tinny. You choose the voice, but it sounds cartoonish and silly","""She ate how many breadsticks?""","A HIGHLY UNSUAL creature sits at the bar, eating. No one seems to pay it any mind. (Gnoll, Zombie, archdevil, etc). [/u/snakebite262]"
"Looking off to the distance, they can see a flashing light (similar to a signal mirror). Someone is trying to signal far off. Whether it is aide, is indiscernible to the group as the light stops almost as soon as it starts. There is only one way to find out…",Defend a wizard's tower while he's casting a ritual. The town's folk are up in arms because (half-way through the battle the party realizes) the wizard kidnapped a child for blood sacrifice.,Deal with a noble's son bullying and throwing his weight around,"There's a crazed monster on the loose, that likes to run across rooftops and jump on folks in the dead of night, or so the rumors say. Rumor or not- the city guard is imposing a curfew tonight: nobody in the streets after dark.","They are on drugs and it is visible. Eye twitching, involuntary movement, bloodshot eyes. But they are functional.","Someone selling items on the road to adventurers. Though the items are enchanted! If you wear them, (something... happens.)",All the player's hair stands on end immediately. The room isn't colder than normal,"""No Dad I'm not a crazed marauder, I'm an adventurer. Well, the difference being, one's a job and the other's mental sickness.""","A Necromantic Fish is posted on the wall. At random intervals, it will sing a song, jeer at the audience, or otherwise crack a ""humerous"" joke. [/u/snakebite262]"
"While passing by a pond, you hear a deep bellowing noise, only to see a fisherman trapped by a giant frog. He calls for help.","The party is hired to rescue a young nobleman kidnapped by an evil cult. It turns out that the cult's evilness is somewhat exaggerated, and the young man is sincerely committed to it.","Plan security for a festival. They have to be careful, too tight and it's no fun. Too loose, and it can get out of hand. Include different areas where things can go wrong (party boats, shooting range, stuff for kids in the morning).","A major counterfeiting operation gets uncovered in 1d4+1 days. There's a chance that it was operating undetected for months, and a significant amount of fools gold and silver coin entered the local economy. Penalties for re-circulating the fake money are very harsh. (10% of player gold gained in the last two sessions turns out to be phony).","They have an extremely strong belief and it shows, they wear a number of emblems of their belief, either in form of accessories, clothing or even tattoos. And they can never stop talking about it.",Four animated suits of armor are running amok in a nearby village.,"A person intercepts the party, telling them they ought not go on ahead, there's a - before exploding into a puddle of blood and viscera","""...and I said unicorns don't even wear pants.""","A dragonborn, with a bad cold, accidently catches a small part of the tavern on fire. It is quickly put out and the dragonborn is escorted from the building. [/u/snakebite262]"
A paladin with the insignia of a lion’s head on her shield asks you to solve the local pest problem. Turns out the “pests” are full sized orcs.,"The party receives a request to stop a necromancer, who is robbing graves to create undead. It turns out that the necromancer is using the undead to run a large farm, which supports several surrounding villages.",A local orphanage is going to be shut down. The only way to keep it open is to win the cash prize at the local talent show/battle of the bands.,"There's been a real crackdown on Vice in the city, and alcohol was outlawed last month! Bootleg can still be found, but only under heavy secrecy and for high dollar.","They are not used to wearing their clothes, they are too big (metaphorically or not), and they keep adjusting their clothes even though they try to make it discreet.","A tempting tunnel opening seems innocent, (maybe there is an illusion of something there, an item, or injured person) until the dirt floor opens up, sending the group sliding down into a cage in an underground cavern. Cheers of goblins erupt. A goblin king sitting on an ugly little thrown laughs, ""dance! dance!"" (The goblins are trying to entertain their cruel king with trapped travelers)",All light sources turn green,"""Where did you find a blue antler at 3 in the morning?""",A drinking contest seems to be going on between a group of idiots. [/u/snakebite262]
"A house outside of town is being circled by hundreds of birds. Upon approaching, the party sees that their beaks are lined with teeth, and the birds are twitching as though trying to escape possession. From the sounds inside, someone is clambering to hide within the building.","A powerful being is approaching the city. It causes death and destruction where ever it goes. There is an artifact, that can permanently kill this being. However the artifact itself is evil and corrupts whoever uses it.","A series of combat fake-outs where a siege turns out to be a festival, but the party needs to convince them to clear a path from the front gate. Then some marauders attack but it turns out they're just larping, but they are still bothering travelers, etc.","Whispers are everywhere about an impending fisherman's strike. After a string of fatalities due to deliberately unsafe working conditions, the city's workers are fed up and are calling for economic democracy. If the players can't help somehow, rioting starts in 2d6+1 days.","They wear clothing that leaves very little to the imagination or dress in a way that is openly sexually charged, and they have the body to wear those.","The characters hear word of a village, a day-or-so that way down the road, that hasn't traded, or attended the area market, or any such usual activity for the past month. Some fear to go there, ""what if they're all sick?"" others are angry, ""They no longer want to trade with us?"" A whole village just... shut off from the outside world. Why?",Blood drips into cracks on the ceiling from the floor,“Had a dog once. Turns out it was just a creepy old Druid.”,"It's trivia night! Several groups are spread out throughout the bar, answering random trivia for a small prize. [/u/snakebite262]"
"Kobolds have been attacking the town. All wearing similar regalia and a matching symbol. a raving man claims to have escaped from the kobolds’ lair. He describes a terrible dragon as the source of worship for the kobolds. The dragon is really a pseudodragon with delusions of grandeur, trained in illusion magic and has duped the kobolds into gathering a hoard for him.","People have been getting food poisoning without any apparent reason. In secrecy, the local wizard or alchemist has been magically changing the corpses of humans (or rotten dead animals) into prime livestock meat. The town will starve without the extra food, but will continue to fall ill with it.",Help Catsy Cline the tabaxi farmer do chores around her farm with lots of unusual creatures.,Tenants in the city's largest housing block are gathering together for a rent strike to oppose unsafe conditions and their landlord's continued abuse of power. The landlord owns a fleet of merchant ships and is threatening to not sell necessary medicine and food to renters who participate in the protest. It's getting ugly.,They don't play around and certainly never joke. They are as cold as a blizzard.,"The party walks along the road, to a stone bridge. As they approach, they see another party at the other end of the bridge. (Or just, a road out among open fields. Whatever ya like.) The other party doesn't respond if hailed. If approached, the characters notice the other party is identical to the players' party, (in looks, weapons, everything.) The 'other' party stands still. If the characters come","A fluffy white cat walks through the room, and it stops to clean the blood off it's tail. If the party approaches, it hisses, bites, or runs away.","""And that's how I learned that flammable and inflammable mean the same thing... and it's also why I can't grow eyebrows.""","A small group of imps are performing a comedic ballad as a warlock watches, ready to banish them if they're too rowdy. [/u/snakebite262]"
"In a large city, urchins are a regular problem. This trio of kidlets, however, has been luring travelers in to abandoned alleyways, where the deranged doppelganger among them eats the human and the other two children keep what was it his/her pockets.","A lynch mob has gathered to hang someone accused of murder. The accused proclaims their innocence and the fact they have not received a trial. The evidence given by the crowd is not concrete: things like people seeing him near the house before the murder or someone finding bloody clothes in his house when he had been slaughtering pigs the day before. Does the party stand by and potentially let an innocent man die, or do they risk drawing the ire of the settlement by fighting them to free him?",Help a group of mourners put on a funeral. You'll need to play music and cater food.,"A cave-in is about to occur in 1d8+2 days in the middle of the town’s market. The town has only the resources to begin picking up the pieces, not investigate the cave-in just yet, leaving the PCs free to explore.","They exude warmth and kindness. Be it the smile nearly always plastered on their face, or their inviting gesture. It's hard to not feel comfortable around them.","A dragon, or other creature, (just large enough that the party isn't sure if they could defeat it) asks the party to kill a goblin horde (or other type of creatures, depending on party level) and return to him his magic items that were stolen. (Maybe as a reward they can keep one of the items ""having some is better than having none.""","The door behind them closes with a loud slam, followed by a strange warping sound as it fades from existence.","""Who is she, anyway!? Some... tart from the village!? Humph! 'Younger than me' is she!?""","Everyone here seems to, ahem, recognize the bard/other character. [/u/ButtonholePhotophile]"
