game|faction_type|faction_id|faction_name|category|name|type|legend|description|,,,,,,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|GK|Grey Knights|No Mercy, No Respite|TELEPORT ASSAULT|Progressive Objective|The Grey Knights’ empyric defences ward them against the chill touch of the warp. Emerging from the actinic glare of teleportation, they crush their foes in a sudden hammer blow of fury before the enemy has any chance to strike back.|At the end of the battle round," score 5VP if one or more enemy units were destroyed by a <span class=""kwb"">GREY</span> <span class=""kwb"">KNIGHTS</span> model from your army that was set up on the battlefield using the <span class=""tooltip01646"" data-tooltip-content=""#tooltip_content01646""><span class=""tt kwbu"">Teleport</span> <span class=""tt kwbu"">Strike</span></span> ability"," the <a href=""/wh40k9ed/factions/grey-knights/#Stratagems"">Teleportation Shunt</a> Stratagem or the <a href=""/wh40k9ed/factions/grey-knights/#Dominus-Discipline"">Gate of Infinity</a> psychic power this battle round.|",,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|CHIF|Imperial Fists|Shadow Operations|BOLSTER BARRICADES|Progressive Objective|Each warrior of the Imperial Fists is adept at assessing battlefield debris at a glance and finding suitable pieces to drag together into makeshift barricades. Upon taking a position of importance, these defensive maestros will quickly fortify their position with nearby materials, creating an impregnable beachhead to strike onwards from.|If you select this objective," <span class=""kwb"">IMPERIAL</span> <span class=""kwb"">FISTS</span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Bolster Barricades (Action):</b> One or more <span class=""tooltip02065"" data-tooltip-content=""#tooltip_content02065"" data-tooltip-anchor=""#tooltip_content02065""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">CORE</span> <span class=""kwb"">INFANTRY</span></span> units from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>. Each unit that does so must be within range of an <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> you control that has not been barricaded by your army (see below). The action is completed at the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a> or at the end of the battle (whichever comes first)", provided the unit performing it is still within range of the same objective marker. If completed, that objective marker is said to have been barricaded by your army.<br><br>Each time a unit from your army completes this action:<br><ul><li>If the objective marker that was barricaded by that action was within your deployment zone, score 1VP.</li><li>If the objective marker that was barricaded by that action was not within either player’s deployment zone, score 4VP.</li><li>Until the end of the battle," each time an enemy unit makes an attack that targets an <span class=""tooltip01861"" data-tooltip-content=""#tooltip_content01861"" data-tooltip-anchor=""#tooltip_content01861""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">FISTS</span> <span class=""kwb"">INFANTRY</span></span> unit from your army that is <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> 6"" of an objective marker that has been barricaded by your army"," that unit receives the benefits of <a href=""/wh40k9ed/the-rules/core-rules/#Light-Cover"">Light Cover</a> and <a href=""/wh40k9ed/the-rules/core-rules/#Heavy-Cover"">Heavy Cover</a> against that attack.</li></ul>|",,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|QI|Imperial Knights|Battlefield Supremacy|YIELD NO GROUND|Progressive Objective|The time has come to plant your adamantine feet and make a stand against the enemy. Take not one step back!|At the end of your turn," score 1VP for each of the following conditions you satisfy (for a maximum of 3VP):<br><ul><li>You control half or more of the total number of <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a> on the battlefield"," and one or more <span class=""kwb"">IMPERIAL</span> <span class=""kwb"">KNIGHTS</span> models from your army are within range of each of those objective markers.</li><li>No enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) are <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> your deployment zone.</li><li>No <span class=""kwb"">IMPERIAL</span> <span class=""kwb"">KNIGHTS</span> units from your army ended that turn closer to your battlefield edge than they were at the start of that turn"," and no <span class=""kwb"">IMPERIAL</span> <span class=""kwb"">KNIGHTS</span> units from your army <a href=""/wh40k9ed/the-rules/core-rules/#Fall-Back"">Fell Back</a> that turn.</li></ul>|",,,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|QI|Imperial Knights|No Mercy, No Respite|HONOUR OF THE HOUSE|Progressive and End Game Objective|Duty. Honour. Fealty. Upholding the tenets of the Code Chivalric is more important than breath to a Knight.|At the end of the battle round," if you have 6 <span class=""tooltip00589"" data-tooltip-content=""#tooltip_content00589""><span class=""tt kwbu"">Honour</span> <span class=""tt kwbu"">points</span></span> or if you have more Honour points than you had at the start of the battle round", score 2VP.<br><br>In addition," at the end of the battle:<br><ul><li>Score 3 additional VP if your army is <span class=""tooltip00589"" data-tooltip-content=""#tooltip_content00589""><span class=""tt kwbu"">Virtuous</span></span>.</li><li>Score 2 additional VP if your army is <span class=""tooltip00589"" data-tooltip-content=""#tooltip_content00589""><span class=""tt kwbu"">Honoured</span></span>.</li><li>If your army is <span class=""tooltip00589"" data-tooltip-content=""#tooltip_content00589""><span class=""tt kwbu"">Dishonoured</span></span>", reduce the number of VP you have scored from this secondary objective by 3 (to a minimum of 0).</li></ul>|,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|QI|Imperial Knights|Shadow Operations|RENEW THE OATHS|Progressive Objective|In ages past, the household fought upon this very battlefield and only through a noble sacrifice was victory assured. As part of their trials, a Knight is expected to perform a pilgrimage to this hallowed site," and pay their respects by recounting their chivalric deeds and renewing their oaths of loyalty. Only then can honour and tradition be satisfied.|If you select this objective. <span class=""tooltip00588"" data-tooltip-content=""#tooltip_content00588"" data-tooltip-anchor=""#tooltip_content00588""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">KNIGHTS</span></span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Renew the Oaths (Action):</b> One <span class=""kwb"">IMPERIAL</span> <span class=""kwb"">KNIGHTS</span> model from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is within 6"" of the centre of the battlefield. This action is completed at the end of your turn provided the unit performing it is still within 6"" of the centre of the battlefield.<br><br>Each time a unit from your army completes this action:<br><ul><li>Score 3VP if the action was completed by a non-<span class=""kwb"">TITANIC</span> model.</li><li>Score 4VP if the action was completed by a <span class=""tooltip01775"" data-tooltip-content=""#tooltip_content01775"" data-tooltip-anchor=""#tooltip_content01775""><span class=""kwb"">TITANIC</span></span> model.</li><li>Score 1 additional VP if the action was completed by a <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> model.</li><li>Roll one D6: on a 4+"," you gain 1 <span class=""tooltip00589"" data-tooltip-content=""#tooltip_content00589""><span class=""tt kwbu"">Honour</span> <span class=""tt kwbu"">point</span></span>.</li></ul>|",,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|CHIH|Iron Hands|No Mercy, No Respite|COLD FURY|Progressive Objective|The honoured ancients and machine spirits have been roused to war - let the enemy feel their wrath.|At the end of your turn," score 1VP for each of the following conditions you satisfy (for a maximum of 4VP):<br><ul><li>One or more <span class=""tooltip00651"" data-tooltip-content=""#tooltip_content00651"" data-tooltip-anchor=""#tooltip_content00651""><span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> <span class=""kwb"">VEHICLE</span></span> units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) from your army are within your opponent’s deployment zone.</li><li>One or more <span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> <span class=""kwb"">VEHICLE</span> units (excluding <span class=""kwb"">AIRCRAFT</span> units) from your army are within 6"" of the centre of the battlefield.</li><li>One or more enemy units were destroyed by ranged attacks made by <span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> <span class=""kwb"">VEHICLE</span> units from your army this turn.</li><li>One or more enemy units were destroyed by melee attacks made by <span class=""kwb"">IRON</span> <span class=""kwb"">HANDS</span> <span class=""kwb"">VEHICLE</span> units from your army this turn.</li></ul>|",,,,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Chaos|LGIW|Iron Warriors|Shadow Operations|MASTERS OF DEMOLITION|End Game Objective|Perturabo’s sons see every enemy structure as an affront.|If you select this objective," during the <a href=""/wh40k9ed/the-rules/arks-of-omen-grand-tournament/#13.-Resolve-Pre-battle-Abilities"">Resolve Pre-battle Abilities</a> step of the mission"," your opponent must set up three <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a> anywhere on the battlefield that are on ground level"," not within 9"" of each other"," and not within 6"" of any battlefield edge. These objective markers cannot be set up on <a href=""/wh40k9ed/the-rules/core-rules/#Terrain-Features"">terrain features</a> with the <a href=""/wh40k9ed/the-rules/core-rules/#Unstable-Position"">Unstable Position</a> terrain trait"," and no more than one of them can be set up within 6"" of your opponent’s deployment zone. If it is impossible to set up an objective marker", it is not set up. Each represents a demolition site," but does not count as an objective marker for any rules purposes other than for this objective. <span class=""tooltip00548"" data-tooltip-content=""#tooltip_content00548"" data-tooltip-anchor=""#tooltip_content00548""><span class=""kwb"">IRON</span> <span class=""kwb"">WARRIORS</span> <span class=""kwb"">INFANTRY</span></span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Total Demolition (Action):</b> One <span class=""kwb"">IRON</span> <span class=""kwb"">WARRIORS</span> <span class=""kwb"">INFANTRY</span> unit (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> units) from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is within range of a demolition site objective marker that you control. This action is completed at the end of the turn", provided the unit performing it is still within range of the same objective marker. If completed, that objective marker is said to have been demolished by your army, and is removed from the battlefield.<br><br>At the end of the battle," score 4VP for each demolition site objective marker that was demolished by your army. Score an additional 4VP if a demolition site objective marker that was within 6"" of your opponent’s deployment zone was demolished by your army.|",,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|LoV|Leagues of Votann|No Mercy, No Respite|THE ANCESTORS ARE WATCHING|Progressive Objective|The Kin prioritise the destruction of those foes judged wanting by the Ancestors, the better to live up to those ancients’ expectations.|At the end of each phase," score 2VP if one of more enemy units that had 1 or more <span class=""tooltip00811"" data-tooltip-content=""#tooltip_content00811""><span class=""tt kwbu"">Judgement</span> <span class=""tt kwbu"">tokens</span></span> were destroyed by a <span class=""kwb"">VOTANN</span> unit from your army that phase. Score an additional 1VP for each of those enemy units that had 3 or more Judgement tokens when it was destroyed.<br><br>At the end of the battle"," reduce the number of victory points you have earned from this secondary objective by 1 (to a minimum of 0) for each unit that is on the battlefield (or that is <a href=""/wh40k9ed/the-rules/core-rules/#Embark"">embarked</a> within a <span class=""tooltip00809"" data-tooltip-content=""#tooltip_content00809"" data-tooltip-anchor=""#tooltip_content00809""><span class=""kwb"">TRANSPORT</span></span> model that is itself on the battlefield) that has 1 or more Judgement tokens.|",,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|LoV|Leagues of Votann|Battlefield Supremacy|LAY CLAIM|End Game Objective|Having identified rare and valuable resources amidst the ruin of battle, the Kin move swiftly to secure them against the foe.|If you select this secondary objective," during the <a href=""/wh40k9ed/the-rules/arks-of-omen-grand-tournament/#13.-Resolve-Pre-battle-Abilities"">Resolve Pre-battle Abilities</a> step of the mission"," your opponent must set up 3 <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a> anywhere on the battlefield that is at ground level"," not within 6"" of their deployment zone or any battlefield edge"," and not within 9"" of each other. These objective markers cannot be set up on <a href=""/wh40k9ed/the-rules/core-rules/#Terrain-Features"">terrain features</a> with the <a href=""/wh40k9ed/the-rules/core-rules/#Unstable-Position"">Unstable Position</a> <a href=""/wh40k9ed/the-rules/core-rules/#Terrain-Traits"">terrain trait</a>. If it is not possible to set up an objective marker in this way", it is not set up. Each represents your Precious Resources, but does not count as an objective marker for any rules purposes other than for this secondary objective. At the end of the battle, you score 5 VP for each of your Precious Resources objective markers you control.|,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|LoV|Leagues of Votann|Shadow Operations|PROSPECTS OF WEALTH|Progressive and End Game Objective|The Kindreds of the Leagues of Votann are ever on the hunt for new sources of material wealth to strengthen their society.|If you select this objective," <span class=""tooltip01674"" data-tooltip-content=""#tooltip_content01674"" data-tooltip-anchor=""#tooltip_content01674""><span class=""kwb"">VOTANN</span> <span class=""kwb"">INFANTRY</span></span> and <span class=""tooltip01675"" data-tooltip-content=""#tooltip_content01675"" data-tooltip-anchor=""#tooltip_content01675""><span class=""kwb"">VOTANN</span> <span class=""kwb"">BIKER</span></span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Prospect (Action):</b> One <span class=""kwb"">VOTANN</span> <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">VOTANN</span> <span class=""kwb"">BIKER</span> unit from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> if it is within range of an <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> that is not within your deployment zone and has not already been prospected by your army. A unit cannot start this action while there are any enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) within range of the same objective marker. The action is completed at the end of the turn. If completed", that objective marker is said to have been prospected by your army and you must roll one D6," adding 1 to the result if the unit that completed the action has the <span class=""tooltip00856"" data-tooltip-content=""#tooltip_content00856"" data-tooltip-anchor=""#tooltip_content00856""><span class=""kwb"">SCANNER</span></span> keyword: on a 6+", that objective marker is a Rich Deposits objective marker.<br><br>Each time a unit from your army completes this action, you score 3VP. At the end of the battle, if you control one or more Rich Deposits markers, you score an additional 3VP.|,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|NEC|Necrons|No Mercy, No Respite|THE TREASURES OF AEONS|Progressive Objective|The foe have looted ancient Necron riches that do not belong to them. These must be reclaimed at all costs.|If you select this objective," during the <a href=""/wh40k9ed/the-rules/arks-of-omen-grand-tournament/#13.-Resolve-Pre-battle-Abilities"">Resolve Pre-battle Abilities</a> step of the mission"," your opponent must select 3 <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective markers</a> on the battlefield. When doing so", they cannot select objective markers that are in their deployment zone unless they have already selected all objective markers that are in no man’s land.<br><br>At the end of your turn, score VP if you control one or more of those selected objective markers," as shown in the table below.<br><br><div class=""BreakInsideAvoid""  style=""""""><table width=""0"" border=""0"" bordercolor=""#888"" cellpadding=""4"" cellspacing=""0"" style=""border-collapse:collapse;border-width:0px""><tbody><tr><td><table class="" customTable tablefont"" border=""1"" bordercolor=""#888"" cellpadding=""4"" style=""border-collapse:collapse;border-color:#888888;border-width:0px""><tbody><tr><td colspan=""2"" style=""border-width:1px 1px 0 1px;background-color:rgb(16",16,16);color:rgb(254,254,"254);vertical-align:bottom;font-size:26px;width:0px;height:0px;""><b>THE TREASURES OF AEONS</b></td></tr><tr><td style=""border-width:1px 0 1px 1px;background-color:var(--header-bg);text-align:center;vertical-align:middle;font-size:22px;width:320px;height:0px;""><b>NUMBER OF SELECTED OBJECTIVE MARKERS YOU CONTROL</b></td><td style=""border-width:1px 1px 1px 0;background-color:var(--header-bg);text-align:center;vertical-align:middle;font-size:22px;width:200px;height:0px;""><b>VICTORY POINTS</b></td></tr><tr><td style=""border-width:0 0 0 1px;text-align:center;vertical-align:middle;font-size:18px;width:320px;height:0px;"">1</td><td style=""border-width:0 1px 0 0;text-align:center;vertical-align:middle;font-size:18px;width:200px;height:0px;"">2</td></tr><tr><td style=""border-width:0 0 0 1px;background-color:var(--row-bg);text-align:center;vertical-align:middle;font-size:18px;width:320px;height:0px;"">2</td><td style=""border-width:0 1px 0 0;background-color:var(--row-bg);text-align:center;vertical-align:middle;font-size:18px;width:200px;height:0px;"">3</td></tr><tr><td style=""border-width:0 0 1px 1px;text-align:center;vertical-align:middle;font-size:18px;width:320px;height:0px;"">3</td><td style=""border-width:0 1px 1px 0;text-align:center;vertical-align:middle;font-size:18px;width:200px;height:0px;"">4</td></tr></tbody></table></td></tr></tbody></table></div>|",,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|NEC|Necrons|Shadow Operations|ANCIENT MACHINERIES|Progressive Objective|Countless worlds across the galaxy harbour quiescent Necron technology waiting to be roused to wakefulness.|If you select this secondary objective," <span class=""kwb"">NECRONS</span> <span class=""kwb"">CORE</span> and <span class=""kwb"">NECRONS</span> <span class=""kwb"">CANOPTEK</span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Awaken Ancient Machinery (Action):</b> At the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>"," one <span class=""tooltip02066"" data-tooltip-content=""#tooltip_content02066"" data-tooltip-anchor=""#tooltip_content02066""><span class=""kwb"">NECRONS</span> <span class=""kwb"">CORE</span> <span class=""kwb"">INFANTRY</span></span>"," <span class=""tooltip02067"" data-tooltip-content=""#tooltip_content02067"" data-tooltip-anchor=""#tooltip_content02067""><span class=""kwb"">NECRONS</span> <span class=""kwb"">CORE</span> <span class=""kwb"">BIKER</span></span> or <span class=""tooltip02054"" data-tooltip-content=""#tooltip_content02054"" data-tooltip-anchor=""#tooltip_content02054""><span class=""kwb"">NECRONS</span> <span class=""kwb"">CANOPTEK</span></span> unit from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> if it is within range of an <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> you control that is not within your deployment zone and which has not already been awakened by your army (see below). If the unit performing this action has the <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Secured"">Objective Secured</a> ability", the action is completed at the end of your turn; otherwise," it is completed at the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>. In any case", the action is only completed if the unit performing it is still within range of the same objective marker. If completed, that objective marker is said to have been awakened by your army.<br><br>Score 4VP each time a unit from your army completes this action.|,,,,,,,,,,,,,,,,,
"Arks of Omen: Grand Tournament|Xenos|NEC|Necrons|Battlefield Supremacy|PURGE THE VERMIN|Progressive Objective|This territory is infested by the contemptible vermin of the lesser races. They must be driven wholesale from the Necrons’ rightful lands in order for reclamation to commence.|At the end of your turn:<br><ul><li>Score 1VP for each <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Quarters"">table quarter</a> that has no enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) within it.</li><li>Score 1VP if there are no enemy units (excluding <span class=""kwb"">AIRCRAFT</span> units) within your deployment zone.</li></ul>This objective cannot be scored in the first battle round.|",,,,,,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Chaos|LGNL|Night Lords|No Mercy, No Respite|SOW THE SEED, REAP THE FEAR|Progressive Objective|Honouring the ways of their Primarch’s reign of terror on ancient Nostramo, the Night Lords use fear as a weapon as much as bolter and blade, reaping a harvest of bewildered panic and frenzied screams that can bring a war zone, hive city or even an entire world to its knees.|If you select this objective," score 1VP each time one of the following happens:<br><ul><li>An enemy unit fails a <a href=""/wh40k9ed/the-rules/core-rules/#Morale-Tests"">Morale test</a>.</li><li>An enemy unit <a href=""/wh40k9ed/the-rules/core-rules/#Fall-Back"">Falls Back</a>.</li><li>An enemy unit fails an <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>.</li></ul>In addition"," each time an enemy unit is destroyed by a melee attack made by a <span class=""kwb"">NIGHT</span> <span class=""kwb"">LORDS</span> model from your army", before removing the last model in that enemy unit from the battlefield, roll 2D6: if the result equals or exceeds the Leadership characteristic of that enemy model, score 1VP.<br><br>A model can, if it is resurrected for any reason (i.e. it was destroyed and subsequently returned to the battlefield), potentially contribute victory points due to this secondary objective several times (assuming it is resurrected and subsequently destroyed several times over, and your 2D6 result equals or exceeds that models Leadership characteristic each time).|,,,,,,,,,,,
"Arks of Omen: Grand Tournament|Xenos|ORK|Orks|Purge the Enemy|STOMP’EM GOOD|Progressive Objective|Orks love crushing enemies with powered claws or mighty choppas.|At the end of the battle round:<br><ul><li>Score 3VP if the number of enemy units destroyed by melee attacks made by <span class=""kwb"">ORKS</span> units from your army this battle round is more than the number of non-<span class=""tooltip00891"" data-tooltip-content=""#tooltip_content00891"" data-tooltip-anchor=""#tooltip_content00891""><span class=""kwb"">GRETCHIN</span></span> units from your army destroyed by melee attacks this battle round.</li><li>Score 1 additional VP if the number of enemy units destroyed by melee attacks made by <span class=""kwb"">ORKS</span> units from your army this battle round is at least 2 and is at least double the number of non-<span class=""kwb"">GRETCHIN</span> units from your army destroyed by melee attacks this battle round.</li></ul>|",,,,,,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|ORK|Orks|Battlefield Supremacy|GREEN TIDE|Progressive Objective|Orks are known to swarm the battlefield in great waves. To their foes, it can seem as though their hordes stretch over the horizon.|At the end of your turn," score 1VP for each <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Quarters"">table quarter</a> that contains 10 or more <span class=""kwb"">ORK</span> models from your army (excluding models that are within 3"" of any other table quarter).|",,,,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Xenos|ORK|Orks|Shadow Operations|GET DA GOOD BITZ|Progressive Objective|Cogitator banks and other priceless prizes make fine loot to sell.|If you select this secondary objective," <span class=""tooltip00876"" data-tooltip-content=""#tooltip_content00876"" data-tooltip-anchor=""#tooltip_content00876""><span class=""kwb"">ORKS</span> <span class=""kwb"">CORE</span></span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Get da Good Bitz (Action):</b> At the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>"," one or more <span class=""kwb"">ORKS</span> <span class=""kwb"">CORE</span> units from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a>. Each unit from your army that starts to perform this action must be within range of a different <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> you control that is not in either player’s deployment zone. If a <span class=""tooltip02068"" data-tooltip-content=""#tooltip_content02068"" data-tooltip-anchor=""#tooltip_content02068""><span class=""kwb"">LOOTAS</span></span> or <span class=""tooltip00891"" data-tooltip-content=""#tooltip_content00891"" data-tooltip-anchor=""#tooltip_content00891""><span class=""kwb"">GRETCHIN</span></span> unit is performing this action", it is completed at the end of your turn; otherwise," it is completed at the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a> or at the end of the battle (whichever comes first). In any case", the action is only completed if the unit performing it is still within range of the same objective marker.<br><br>Score 4VP each time a unit from your army completes this action (to a maximum of 6VP per battle round).|,,,,,,,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Imperium|CHRG|Raven Guard|Shadow Operations|SECURE OR SABOTAGE|End Game Objective|The enemy are in possession of ammo caches, comms relays and fuel stores. Secure these if you can, or rip them from the foe’s grasp if not.|If you select this objective," <span class=""kwb"">RAVEN</span> <span class=""kwb"">GUARD</span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Plant Explosives (Action):</b> One or more <span class=""tooltip02069"" data-tooltip-content=""#tooltip_content02069"" data-tooltip-anchor=""#tooltip_content02069""><span class=""kwb"">RAVEN</span> <span class=""kwb"">GUARD</span> <span class=""kwb"">CORE</span> <span class=""kwb"">INFANTRY</span></span> units from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>. Each unit from your army that starts to perform this action must be within range of a different <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> you control that does not have explosives planted on it by your army (see below). The action is completed at the end of your turn. If completed", that objective marker is said to have explosives planted on it by your army.<br><br>At the end of any player’s turn, for each objective marker that has explosives planted on it by your army, if that objective marker is controlled by your opponent, you can perform a controlled explosion with it. If you do so, that objective marker is no longer said to have explosives planted on it by your army, and for each unit within range of that objective marker roll one D6: on a 2+," that unit suffers 3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>. You cannot perform a controlled explosion with an objective marker in the same turn it had explosives planted on it by your army.<br><br>At the end of the battle", score 3VP for each objective marker that still has explosives planted on it by your army.|,,,,,,,,,,,,,
Arks of Omen: Grand Tournament|Chaos|LGRC|Red Corsairs|Shadow Operations|RAID AND REAVE|Progressive and End Game Objective|Many Red Corsairs assaults have as their foundation the plundering of the foe’s resources. Weapons, fuel, technology, information and slaves are prized trophies, fuelling the warbands next vicious attack.|If you select this objective," <span class=""tooltip02070"" data-tooltip-content=""#tooltip_content02070"" data-tooltip-anchor=""#tooltip_content02070""><span class=""kwb"">RED</span> <span class=""kwb"">CORSAIRS</span> <span class=""kwb"">INFANTRY</span></span> and <span class=""tooltip01548"" data-tooltip-content=""#tooltip_content01548"" data-tooltip-anchor=""#tooltip_content01548""><span class=""kwb"">RED</span> <span class=""kwb"">CORSAIRS</span> <span class=""kwb"">BIKER</span></span> units from your army can attempt the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Raid and Reave (Action):</b> One or more <span class=""kwb"">RED</span> <span class=""kwb"">CORSAIRS</span> <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">RED</span> <span class=""kwb"">CORSAIRS</span> <span class=""kwb"">BIKER</span> units from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>. Each unit from your army that starts to perform this action must be within range of a different <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> that has not been raided by your army (see below). A unit cannot start this action while there are any enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) within range of the same objective marker. The action is completed at the end of your turn", provided the unit performing it is still within range of the same objective marker. If completed, that objective marker is said to have been raided by your army, and until the end of the battle the unit that performed the action is said to be carrying spoils of war.<br><br>Each time a unit from your army completes this action," if the objective marker that was raided as a result was <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">wholly within</a> your deployment zone", score 1 VP; if that objective marker was wholly within your opponent’s deployment zone, score 3VP; otherwise, score 2VP.<br><br>At the end of the battle," score 1VP for each <span class=""kwb"">RED</span> <span class=""kwb"">CORSAIRS</span> unit from your army that is carrying spoils of war (score 2VP instead if that unit"," or a <span class=""tooltip01042"" data-tooltip-content=""#tooltip_content01042"" data-tooltip-anchor=""#tooltip_content01042""><span class=""kwb"">TRANSPORT</span></span> model it is embarked within", is wholly within your deployment zone).|,,,,,,,,,
