faction_id|faction_name|type|roll|name|legend|description|,,,,,,,,,,,,,
CSM|Chaos Space Marines|Iron Warriors|6|IMPLACABLE TASKMASTER (AURA)|This warlord advances with bitter resolve and, led by his example," his followers do the same.|While a friendly <span class=""tooltip01536"" data-tooltip-content=""#tooltip_content01536"" data-tooltip-anchor=""#tooltip_content01536""><span class=""kwb"">IRON</span> <span class=""kwb"">WARRIORS</span> <span class=""kwb"">CORE</span></span> unit is within 6"" of this <span class=""kwb"">WARLORD</span>", each time that unit is selected to shoot," if that unit made a <a href=""/wh40k9ed/the-rules/core-rules/#Normal-Move"">Normal Move</a> in your previous <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>", then until its shooting attacks have been resolved," it counts as having <a href=""/wh40k9ed/the-rules/core-rules/#Remain-Stationary"">Remained Stationary</a>.|",,,,,,,
CSM|Chaos Space Marines|Emperor’s Children|1|STIMULATED BY PAIN|The warlords of the Emperor’s Children thrive on pain. The more grievous their injuries," the deadlier they become.|<ul><li>Each time this <span class=""kwb"">WARLORD</span> loses a wound"," add 1 to its Attacks characteristic (to a maximum of +3). Each time this <span class=""kwb"">WARLORD</span> regains a lost wound"," subtract 1 from its Attacks characteristic.</li><li>When this <span class=""kwb"">WARLORD</span> is destroyed"," if it is within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of any enemy units and it has not already fought this phase", do not remove it from play: it can, after the attacking model’s unit has finished making its attacks, be selected to fight. After that fight has been resolved," this <span class=""kwb"">WARLORD</span> is then removed from play.</li></ul>|",,,,,
CSM|Chaos Space Marines|Emperor’s Children|2|INTOXICATING MUSK (AURA)|A sickly-sweet aroma emanates from this warlord," both delightful and disgusting at once. A perfumed assault on the senses intoxicates those in its vicinity.|While an enemy unit is within 3"" of this <span class=""kwb"">WARLORD</span>", each time a model in that unit makes a melee attack," subtract 1 from that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|",,,,,,,,,,
"CSM|Chaos Space Marines|Emperor’s Children|3|UNBOUND ARROGANCE|This warlord’s hubris is both his greatest strength and his biggest weakness.|Each time this <span class=""kwb"">WARLORD</span> is selected to fight", you and your opponent secretly choose a number from 1 to 3 on a D6 (we suggest turning a D6 to show the number, but concealing it behind your hand), then reveal your choices simultaneously. If the chosen numbers differ, then until that fight is resolved," add the number you chose to the Attacks characteristic of this <span class=""kwb"">WARLORD</span>.|",,,,,,,,
CSM|Chaos Space Marines|Emperor’s Children|4|FAULTLESS DUELLIST|A peerless swordsman and an exquisite example of fighting form," those who lock swords with this warlord do so at their peril.|<ul><li>Each time this <span class=""kwb"">WARLORD</span> makes a melee attack"," you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.</li><li>While an enemy <a href=""/wh40k9ed/the-rules/core-rules/#Within-and-Wholly-Within"">model is within</a> <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of this <span class=""kwb"">WARLORD</span>", subtract 1 from the Attacks characteristic of that enemy model.</li></ul>|,,,,,,,,,,
"CSM|Chaos Space Marines|Emperor’s Children|5|GLUTTON FOR PUNISHMENT|This warlord revels in every sensation - even ones that would slay a lesser mortal outright.|<ul><li>Each time an attack is allocated to this <span class=""kwb"">WARLORD</span>"," if this <span class=""kwb"">WARLORD</span> does not have the <span class=""kwb"">VEHICLE</span> keyword"," subtract 1 from the Damage characteristic of that attack (to a minimum of 1).</li><li>Each time this <span class=""kwb"">WARLORD</span> would lose a wound as the result of a <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>", roll one D6: on a 5+, that wound is not lost.</li></ul>|,,,,,,,,,
CSM|Chaos Space Marines|Emperor’s Children|6|LOATHSOME GRACE|Blessed by Slaanesh to further accentuate his perverse elegance, this warlord’s warped movements are nimble," striking and utterly abhorrent.|<ul><li>Add 2"" to the Move characteristic of this <span class=""kwb"">WARLORD</span>.</li><li>You can re-roll <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a> and <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge rolls</a> made for this <span class=""kwb"">WARLORD</span>.</li></ul>|",,,,,,,,,,,
CSM|Chaos Space Marines|World Eaters|1|SLAUGHTERBORN|This warlord bears the favour of Khorne," his murderous prowess growing with each worthy skull claimed in his master’s name.|Each time an enemy <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a>"," <span class=""kwb"">MONSTER</span> or <span class=""kwb"">TITANIC</span> model is destroyed by an attack made by this <span class=""kwb"">WARLORD</span>", until the end of the battle," add 1 to this <span class=""kwb"">WARLORD</span>’s Attacks and Strength characteristics.|",,,,,,,,,
CSM|Chaos Space Marines|World Eaters|2|ARCH-SLAUGHTERER|When surrounded by foes to kill," this warlord is truly in his element and gives in to the Butcher’s Nails.|At the start of the <a href=""/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>"," if there are more enemy models than friendly models within 3"" of this <span class=""kwb"">WARLORD</span>", until the end of the phase," add D3 to this <span class=""kwb"">WARLORD</span>’s Attacks characteristic.|",,,,,,,,,
CSM|Chaos Space Marines|World Eaters|3|DISCIPLE OF KHORNE|Many claim to hold the title of one of Khorne’s eight foremost champions, but any pretenders are swiftly proven false," for none can rival one of their number in the art of single combat.|Each time a melee attack is made by this <span class=""kwb"">WARLORD</span> against a <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> unit or a unit that contains any models with a Wounds characteristic of 5 or more"," you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a> and you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a>.|",,,,,,,,,,
CSM|Chaos Space Marines|World Eaters|4|VIOLENT URGENCY (AURA)|This warlord's bloodlust is palpable and pushes the Butcher’s Nails of those around him into overdrive. This, in turn," fuels a desperate need to spill blood.|While a friendly <span class=""kwb"">WORLD</span> <span class=""kwb"">EATERS</span> unit is within 6"" of this <span class=""kwb"">WARLORD</span>"," add 1 to <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a> and <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge rolls</a> made for that unit.|",,,,,,,,,,
CSM|Chaos Space Marines|World Eaters|5|TRUE BERZERKER|When this warlord meets his foes face-to-face, his fury is such that he will brush aside even fatal wounds," the better to claim more skulls for Lord Khorne.|Each time an attack is allocated to this <span class=""kwb"">WARLORD</span>", halve the Damage characteristic of that attack (rounding up).|,,,,,,,,,,
CSM|Chaos Space Marines|World Eaters|6|BATTLE-LUST|This warlord’s lust for battle draws him into any and all fights," his thirst driving him to new heights of battlefield frenzy.|<ul><li>This <span class=""kwb"">WARLORD</span> is eligible to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention"">perform a Heroic Intervention</a> if it is within 6"" horizontally and 5"" vertically of any enemy unit"," instead of 3"" horizontally and 5"" vertically. Each time this <span class=""kwb"">WARLORD</span> makes a Heroic Intervention move"," it can move up to 6"" instead of 3"". All other rules for <a href=""/wh40k9ed/the-rules/core-rules/#2.-Heroic-Interventions"">Heroic Interventions</a> still apply.</li><li>At the start of the <a href=""/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>"," if this <span class=""kwb"">WARLORD</span> is within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of any enemy units", it can fight first that phase.</li></ul>|,,,,,,,,
"DG|Death Guard|Warlord Traits|1|REVOLTINGLY RESILIENT|So vast and bloated has this warlord become that he is all but immune to the pain of injury.|Each time this <span class=""kwb"">WARLORD</span> would lose a wound", roll one D6: on a 5+, that wound is not lost.|,,,,,,,,,,,
DG|Death Guard|Warlord Traits|2|LIVING PLAGUE (AURA)|Saturated as he is with Nurgle’s contagious blessings," merely to stand before this warlord is to be assailed by an oppressive aura of plague.|While an enemy unit is within 3"" of this <span class=""kwb"">WARLORD</span>"," that unit cannot be affected by the <a href=""/wh40k9ed/the-rules/core-rules/#Aura-Abilities"">aura abilities</a> (excluding those that are psychic powers) of units from your opponents army.|",,,,,,,,,,,
DG|Death Guard|Warlord Traits|3|HULKING PHYSIQUE|This Warlord’s body has become swollen with Nurgle’s divine blessings," and stands all but inviolate as a veritable behemoth of rancid flesh.|<ul><li>Add 1 to the Wounds characteristic of this <span class=""kwb"">WARLORD</span>.</li><li>Each time an attack is made against this <span class=""kwb"">WARLORD</span>"," an unmodified <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a> of 1-3 for that attack fails", irrespective of any abilities that the weapon or the model making the attack may have.</li></ul>|,,,,,,,,,,
"DG|Death Guard|Warlord Traits|4|ARCH-CONTAMINATOR (AURA)|Such are this Warlord’s virulent emanations that his very presence is enough to make even the most lethal toxins and venoms deadlier still.|While a friendly <span class=""tooltip00711"" data-tooltip-content=""#tooltip_content00711"" data-tooltip-anchor=""#tooltip_content00711""><span class=""kwb2"">&lt;<span class=""kwb3"">P</span>LAGUE</span> <span class=""kwb"">COMPANY&gt;</span> <span class=""kwb"">CORE</span></span> unit is within 6"" of this <span class=""kwb"">WARLORD</span>:<br><ul><li>Each time a model in that unit makes a melee attack with a <span class=""tooltip00867"" data-tooltip-content=""#tooltip_content00867""><span class=""tt kwbu"">plague</span> <span class=""tt kwbu"">weapon</span></span>"," you can re-roll the wound roll.</li><li>Each time a model in that unit makes a ranged attack with a plague weapon that targets a unit within 12""", you can re-roll the wound roll.</li></ul>|,,,,,,,,,,,
DG|Death Guard|Warlord Traits|5|ROTTEN CONSTITUTION|Nurgle’s favour takes many forms," and this Warlord’s flesh has become so rotinfested that vast chunks of it can be torn free without risk of lasting harm.|<ul><li>Add 1 to the Toughness characteristic of this <span class=""kwb"">WARLORD</span>.</li><li>Each time an attack with an Armour Penetration characteristic of -1 or -2 is allocated to this <span class=""kwb"">WARLORD</span>", that attack has an Armour Penetration characteristic of 0 instead.</li></ul>|,,,,,,,,,,,
DG|Death Guard|Warlord Traits|6|FOUL EFFLUENTS (AURA)|Liquid toxins pour from crevices in the Warlords armour," creating a miasma of filth around him that spreads all around.|While an enemy unit is within 6"" of this <span class=""kwb"">WARLORD</span>"," at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>", roll one D6 for that unit: on a 4+," that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|",,,,,,,,,
"SM|Space Marines|Black Templars Warlord Traits|1|EPITOME OF PIETY|So intense is the warlord's devotion to the God-Emperor that they are able to throw off the malign influence of the warp.|<ul><li>In your opponent s <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," this <span class=""kwb"">WARLORD</span> can attempt to deny one psychic power as if it were a <span class=""kwb"">PSYKER</span>.</li><li>Add 1 to <a href=""/wh40k9ed/the-rules/core-rules/#Deny-the-Witch"">Deny the Witch tests</a> taken for this <span class=""kwb"">WARLORD</span>.</li></ul>|",,,,,,,,,,,,
"SM|Space Marines|Black Templars Warlord Traits|2|PARAGON OF FURY|This warlord’s hatred for the heretic and the unbeliever burns with the fury of a newborn star.|After this <span class=""kwb"">WARLORD</span> finishes a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge move</a>:<br><ul><li>Until the end of the turn"," add 1 to this <span class=""kwb"">WARLORD</span>’s Strength characteristic.</li><li>Roll one D6 for each enemy model that is within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of it: on a 5+"," that model’s unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.</li></ul>|",,,,,,,,,,,
SM|Space Marines|Black Templars Warlord Traits|3|MASTER OF ARMS|The warlord has devoted their existence to the rigorous perfection of the blade," becoming a force of righteous destruction upon the battlefield.|<ul><li>At the start of the <a href=""/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>"," if this <span class=""kwb"">WARLORD</span> is within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of any enemy units"," it can fight first that phase.</li><li>Add 1 to this <span class=""kwb"">WARLORD</span>’s Attacks characteristic.</li></ul>|",,,,,,,,,,
"SM|Space Marines|Black Templars Warlord Traits|4|INSPIRATIONAL FIGHTER (AURA)|The warlord's exemplary martial prowess galvanises the battle-brothers around them to reach new heights of righteous ferocity.|While a friendly <span class=""tooltip00542"" data-tooltip-content=""#tooltip_content00542"" data-tooltip-anchor=""#tooltip_content00542""><span class=""kwb"">BLACK</span> <span class=""kwb"">TEMPLARS</span> <span class=""kwb"">CORE</span></span> unit is within 6"" of this <span class=""kwb"">WARLORD</span>", each time a model in that unit makes a melee attack," on an unmodified <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a> of 6"," improve the Armour Penetration characteristic of that attack by 1. This is cumulative with the bonus gained from the <span class=""tooltip00544"" data-tooltip-content=""#tooltip_content00544""><span class=""tt kwbu"">Assault</span> <span class=""tt kwbu"">Doctrine</span></span> if it is active for your army.|",,,,,,,,,,
SM|Space Marines|Black Templars Warlord Traits|5|FRONT-LINE COMMANDER|Leading from the heart of the battle," the warlord pushes their brethren to ever more fervent acts of courage in the face of the enemy’s guns.|<ul><li>Add 1 to <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a> and <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge rolls</a> made for this <span class=""kwb"">WARLORD</span>.</li><li>Each time a friendly <span class=""tooltip00542"" data-tooltip-content=""#tooltip_content00542"" data-tooltip-anchor=""#tooltip_content00542""><span class=""kwb"">BLACK</span> <span class=""kwb"">TEMPLARS</span> <span class=""kwb"">CORE</span></span> unit declares a charge against an enemy unit that is within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of this <span class=""kwb"">WARLORD</span>", add 1 to the charge roll made for that unit.</li></ul>|,,,,,,,,,,,
"SM|Space Marines|Black Templars Warlord Traits|6|OATHKEEPER|The fury of a Black Templars warlord cannot be stayed until the foe lies ruined at his feet.|<ul><li>This <span class=""kwb"">WARLORD</span> is eligible to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention"">perform a Heroic Intervention</a> if it is within 6"" horizontally and 5"" vertically of any enemy unit.</li><li>Each time this <span class=""kwb"">WARLORD</span> makes a Heroic Intervention move"," it can move up to 6"" instead of 3"". All other rules for Heroic Interventions still apply.</li></ul>|",,,,,,,,,,,,
SM|Space Marines|Warlord Traits|1|SHOOT AND FADE|This warrior harries the foe before returning to the shadows.|Once per turn," in your <a href=""/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>"," after shooting with a friendly <span class=""tooltip00727"" data-tooltip-content=""#tooltip_content00727"" data-tooltip-anchor=""#tooltip_content00727""><span class=""kwb2"">&lt;<span class=""kwb3"">C</span>HAPTER&gt;</span> <span class=""kwb"">PHOBOS</span></span> unit within 6"" of this <span class=""kwb"">WARLORD</span>"," that unit can make a <a href=""/wh40k9ed/the-rules/core-rules/#Normal-Move"">Normal Move</a> or it can <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a>; in either case", if it does," that unit is not eligible to <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">declare a charge</a> with this turn.|",,,,,,,,
SM|Space Marines|Warlord Traits|2|LORD OF DECEIT|This leader is adept at subterfuge and spreading misinformation.|After both players have deployed their armies," select up to three <span class=""tooltip00727"" data-tooltip-content=""#tooltip_content00727"" data-tooltip-anchor=""#tooltip_content00727""><span class=""kwb2"">&lt;<span class=""kwb3"">C</span>HAPTER&gt;</span> <span class=""kwb"">PHOBOS</span></span> units from your army and redeploy them. If the mission uses the <a href=""/wh40k9ed/the-rules/core-rules/#Strategic-Reserves"">Strategic Reserves</a> rules"," any of those units can be placed into Strategic Reserves without having to spend any additional <a href=""/wh40k9ed/the-rules/core-rules/#Command-Points"">CPs</a>", regardless of how many units are already in Strategic Reserves. If both players have abilities that redeploy units," <a href=""/wh40k9ed/the-rules/core-rules/#Roll-offs"">roll off</a>; the winner chooses who redeploys their units first.|",,,,,,,,,
"SM|Space Marines|Warlord Traits|3|MASTER OF THE VANGUARD (AURA)|This living legend of the Vanguard is an inspiration to his brothers.|While a friendly <span class=""tooltip00727"" data-tooltip-content=""#tooltip_content00727"" data-tooltip-anchor=""#tooltip_content00727""><span class=""kwb2"">&lt;<span class=""kwb3"">C</span>HAPTER&gt;</span> <span class=""kwb"">PHOBOS</span></span> unit is within 6"" of this <span class=""kwb"">WARLORD</span>:<br><ul><li>Add 1 to <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge rolls</a> made for that unit.</li><li>Each time that unit is selected to make a <a href=""/wh40k9ed/the-rules/core-rules/#Normal-Move"">Normal Move</a>"," <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a> or <a href=""/wh40k9ed/the-rules/core-rules/#Fall-Back"">Fall Back</a>"," add 1"" to that unit’s Move characteristic until the end of the phase.</li></ul>|",,,,,,,,,,,
"SM|Space Marines|Warlord Traits|4|STEALTH ADEPT|This warlord slips through enemy territory like a spectre.|Unless this <span class=""kwb"">WARLORD</span> is the closest eligible target", enemy models cannot target it with ranged attacks.|,,,,,,,,,,,,
"SM|Space Marines|Warlord Traits|5|TARGET PRIORITY|This tactician is constantly seeking prime targets.|In your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>"," you can select one friendly <span class=""tooltip00727"" data-tooltip-content=""#tooltip_content00727"" data-tooltip-anchor=""#tooltip_content00727""><span class=""kwb2"">&lt;<span class=""kwb3"">C</span>HAPTER&gt;</span> <span class=""kwb"">PHOBOS</span></span> unit within 6"" of this <span class=""kwb"">WARLORD</span>. Until the start of your next Command phase", each time a model in that unit makes a ranged attack," add 1 to that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|",,,,,,,,,,
"SM|Space Marines|Warlord Traits|6|MASTER MARKSMAN|This warlord is one of the finest sharpshooters in the galaxy.|Add 1 to the Damage characteristic of ranged weapons this <span class=""kwb"">WARLORD</span> is equipped with (excluding <a href=""/wh40k9ed/the-rules/core-rules/#GRENADE"">Grenades</a> and Relics).|",,,,,,,,,,,,,
"QT|Chaos Knights|Warlord Traits||BOW TO NONE|This warlord has stared down even the most terrifying daemons of the warp. They are as unwilling to yield or bend the knee before the ineffable as before any other mortal.|<ul><li>This <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> can ignore any or all <a href=""/wh40k9ed/the-rules/core-rules/#Modifying-Characteristics"">modifiers</a> to their characteristics profile (the only exceptions are characteristics changes incurred as a result of Damage suffered"," as shown on this <span class=""kwb"">WARLORD</span>’s <a href=""/wh40k9ed/the-rules/core-rules/#Datasheets-1"">datasheet</a>).</li><li>Each time this <span class=""kwb"">WARLORD</span> makes an attack"," you can ignore any or all modifiers to its <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit rolls</a>"," <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound rolls</a> or damage rolls.</li><li>Each time this <span class=""kwb"">WARLORD</span> <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advances</a> or <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">declares a charge</a>"," you can ignore any or all modifiers to its <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance rolls</a> or <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge rolls</a>.</li></ul>|",,,,,,,,,
QT|Chaos Knights|Warlord Traits||STRIKE FIRST, STRIKE OFTEN|The knightly lords of House Lucaris vie with each other for the honour of being the first to spill the blood of the enemy. In battle," they strike with a lightning speed unexpected of such large war machines.|At the start of the <a href=""/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>"," if this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> is within <a href=""/wh40k9ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of any enemy units", it can fight first that phase.|,,,,,,,,,
QT|Chaos Knights|Warlord Traits||MADDENED CRIES (AURA)|The warlords hideously twisted Knight suit broadcasts their deranged rantings as they crash into the enemy line," sending their foes fleeing in terror.|While an enemy unit is within 9"" of this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a>"," at the start of each <a href=""/wh40k9ed/the-rules/core-rules/#MORALE-PHASE"">Morale phase</a>"," it must take a <span class=""tooltip01788"" data-tooltip-content=""#tooltip_content01788""><span class=""tt kwbu"">Dread</span> <span class=""tt kwbu"">test</span></span>. If that test is failed"," that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|",,,,,,,,,
QT|Chaos Knights|Warlord Traits||FAVOUR OF THE DARK MECHANICUM|This warlord has been bionically augmented with a series of mechatendrils that permeate the mechanisms of their Knight suit. If damaged," they can effect simple repairs without breaking their focus.|<ul><li>If this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> is a <span class=""tooltip00631"" data-tooltip-content=""#tooltip_content00631"" data-tooltip-anchor=""#tooltip_content00631""><span class=""kwb"">WAR</span> <span class=""kwb"">DOG-CLASS</span></span> model"," add 1 to its Wounds characteristic.</li><li>If this <span class=""kwb"">WARLORD</span> is a <span class=""tooltip01992"" data-tooltip-content=""#tooltip_content01992"" data-tooltip-anchor=""#tooltip_content01992""><span class=""kwb"">TITANIC</span></span> model"," add 2 to its Wounds characteristic.</li><li>At the start of each of your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phases</a>"," this <span class=""kwb"">WARLORD</span> regains D3 lost wounds.</li></ul>|",,,,,,,,,
QT|Chaos Knights|Warlord Traits||DREAD HUNTER|This warlord has hunted the most abhorrent daemonic prey, lining up the perfect aim before unleashing the killing shot.|Once per battle," at the start of your <a href=""/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>"," this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> can make a killing strike. If it does so"," select one ranged weapon this <span class=""kwb"">WARLORD</span> is equipped with. Until the end of the phase", each time an attack is made with that weapon," you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>"," you can re-roll the <a href=""/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll"">wound roll</a> and you add 1 to the Damage characteristic of that attack.|",,,,,,
QT|Chaos Knights|Warlord Traits||LORD OF DREAD|This tyrannical Knight is the epitome of dread power, instilling as much fear in their minions as they do over the enemy," ensuring unwavering obedience.|<ul><li>Add 3"" to the range of this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span>’s</a> <a href=""/wh40k9ed/the-rules/core-rules/#Aura-Abilities"">Aura abilities</a> (to a maximum of 12"").</li><li>Add 3"" to the range of this <span class=""kwb"">WARLORD</span>’s <span class=""tooltip00634"" data-tooltip-content=""#tooltip_content00634""><span class=""tt kwbu"">Dreaded</span> <span class=""tt kwbu"">abilities</span></span>.</li></ul>|",,,,,,,,,,,
"QI|Imperial Knights|Warlord Traits||CHAMPION OF THE HOUSEHOLD|Terryn’s rulers can always be found at the forefront of their house’s armies.|You can re-roll <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a> and <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge rolls</a> made for this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a>.|",,,,,,,,,,,,,
"QI|Imperial Knights|Warlord Traits||MASTER OF THE JOUST|The lords of Griffith are experts at striking pinpoint blows while at full stride.|This <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> is eligible to <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">declare a charge</a> in a turn in which it <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advanced</a>.|",,,,,,,,,,,,,
"QI|Imperial Knights|Warlord Traits||VETERAN OF GRYPHONNE IV|Those Knights of Cadmus who survived the destruction of Gryphonne IV by Hive Fleet Leviathan proved their endurance time and again.|Each time a melee attack is allocated to this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a>", subtract 1 from the Damage characteristic of that attack (to a minimum of 1). This is not cumulative with any other rules that reduce the Damage characteristic of an attack.|,,,,,,,,,,,,
"QI|Imperial Knights|Warlord Traits||DUTY OF THE FORSWORN|The champions of Hawkshroud often take to the field having sworn a binding oath to slay a particular foe.|At the start of your first <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>"," select one unit in your opponent’s army. Each time this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a> makes an attack against that unit"," add 1 to that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|",,,,,,,,,,,
"QI|Imperial Knights|Warlord Traits||LEGACY OF THE BLACK PALL|The gloom of their home world of Kimdaria seems to cling to the Knights of House Mortan.|Each time a ranged attack is made against this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a>"," if the attacker is more than 18"" away"," subtract 1 from that attack’s <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|",,,,,,,,,,,
"QI|Imperial Knights|Warlord Traits||MASTER OF THE TRIAL|Those elite Nobles who emerge triumphant from House Ravens Trial of the Companions are forever hardened by the experience.|Each time an attack is allocated to this <a href=""/wh40k9ed/the-rules/core-rules/#The-Warlord""><span class=""kwb"">WARLORD</span></a>", if that Attack has an Armour Penetration characteristic of -1 or -2, the Armour Penetration characteristic of that attack is reduced by 1.|,,,,,,,,,,,
